id,link
1,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
2,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic
3,https://myanimelist.net/anime/28977/Gintama°
4,https://myanimelist.net/anime/9253/Steins_Gate
5,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
6,https://myanimelist.net/anime/9969/Gintama
7,https://myanimelist.net/anime/39486/Gintama__The_Final
8,https://myanimelist.net/anime/15417/Gintama__Enchousen
9,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
10,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu
11,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
12,https://myanimelist.net/anime/34096/Gintama
13,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season
14,https://myanimelist.net/anime/918/Gintama
15,https://myanimelist.net/anime/28851/Koe_no_Katachi
16,https://myanimelist.net/anime/4181/Clannad__After_Story
17,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie
18,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare
19,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
20,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen
21,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season
22,https://myanimelist.net/anime/32281/Kimi_no_Na_wa
23,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen
24,https://myanimelist.net/anime/19/Monster
25,https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou
26,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season
27,https://myanimelist.net/anime/50160/Kingdom_4th_Season
28,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen
29,https://myanimelist.net/anime/40682/Kingdom_3rd_Season
30,https://myanimelist.net/anime/37510/Mob_Psycho_100_II
